1479998284.000000, 1479998284.000000, 1479998284.000000.1
1069,-4.0,-60.0,-17.0
1070,-5.0,-62.0,-16.0
1071,-6.0,-63.0,-16.0
1072,-6.0,-61.0,-17.0
1073,-8.0,-62.0,-15.0
1074,-9.0,-63.0,-15.0
1075,-11.0,-62.0,-14.0
1076,-12.0,-65.0,-13.0
1077,-5.0,-65.0,-6.0
1078,3.0,-66.0,-3.0
1079,2.0,-62.0,-8.0
1080,12.0,-63.0,-17.0
1081,21.0,-68.0,0.0
1082,-6.0,-66.0,8.0
1083,-14.0,-61.0,12.0
1084,-14.0,-66.0,16.0
1085,-6.0,-68.0,6.0
1086,-5.0,-65.0,-1.0
1087,-8.0,-59.0,-14.0
1088,-13.0,-55.0,-17.0
1089,-10.0,-56.0,-20.0
1090,-11.0,-57.0,-20.0
1091,-10.0,-57.0,-19.0
1092,-3.0,-57.0,-18.0
1093,-5.0,-57.0,-18.0
1094,-19.0,-63.0,5.0
1095,-18.0,-68.0,-18.0
1096,-7.0,-77.0,-8.0
1097,-12.0,-61.0,-10.0
1098,-12.0,-61.0,-11.0
1099,-13.0,-61.0,-10.0
1100,-11.0,-62.0,-5.0
1101,-7.0,-64.0,-3.0
1102,-6.0,-63.0,-6.0
1103,-9.0,-63.0,-7.0
1104,-10.0,-61.0,-10.0
1105,-8.0,-59.0,-10.0
1106,-7.0,-64.0,-9.0
1107,-7.0,-66.0,-10.0
1108,-8.0,-68.0,-12.0
1109,-7.0,-65.0,-12.0
1110,-9.0,-64.0,-12.0
1111,-10.0,-61.0,-12.0
1112,-9.0,-61.0,-11.0
1113,-8.0,-64.0,-11.0
1114,-8.0,-64.0,-8.0
1115,-8.0,-63.0,-8.0
1116,-7.0,-62.0,-8.0
1117,-7.0,-62.0,-7.0
1118,-9.0,-62.0,-8.0
1119,-11.0,-62.0,-10.0
1345,-11.0,-62.0,-12.0
1346,-10.0,-62.0,-13.0
1347,-9.0,-62.0,-13.0
1348,-10.0,-62.0,-12.0
1349,-9.0,-61.0,-12.0
1350,-7.0,-63.0,-11.0
1351,-7.0,-63.0,-11.0
1352,-7.0,-62.0,-12.0
1353,-8.0,-62.0,-13.0
1354,-8.0,-62.0,-13.0
1355,-9.0,-64.0,-15.0
1356,-7.0,-62.0,-10.0
1357,-7.0,-63.0,-13.0
1358,-5.0,-61.0,-12.0
1359,-8.0,-62.0,-13.0
1360,-7.0,-63.0,-13.0
1361,-7.0,-61.0,-15.0
1362,0.0,-65.0,-7.0
1363,0.0,-63.0,-7.0
1364,-1.0,-62.0,-9.0
1365,-1.0,-63.0,-11.0
1366,0.0,-62.0,-10.0
1367,0.0,-62.0,-8.0
1368,1.0,-63.0,-7.0
1369,2.0,-63.0,-6.0
1370,2.0,-62.0,-8.0
1371,1.0,-61.0,-12.0
1372,0.0,-62.0,-11.0
1373,-2.0,-63.0,-12.0
1374,0.0,-63.0,-11.0
1375,2.0,-63.0,-10.0
1376,0.0,-62.0,-11.0
1377,0.0,-63.0,-13.0
1378,0.0,-63.0,-14.0
1379,0.0,-63.0,-12.0
1380,0.0,-64.0,-12.0
1381,0.0,-63.0,-12.0
1382,2.0,-63.0,-10.0
1383,1.0,-63.0,-10.0
1384,1.0,-63.0,-11.0
1385,1.0,-63.0,-12.0
1386,1.0,-63.0,-11.0
1387,1.0,-62.0,-11.0
1388,2.0,-62.0,-11.0
1389,1.0,-63.0,-13.0
1390,0.0,-63.0,-12.0
